iter	RMSE	MAE	MAPE	R2
0	1724.20796	1155.671115	0.5606190202	0.8115401087
1	1454.048543	869.807466	0.2717740295	0.8659714078
2	1152.884048	680.2852297	0.2199661042	0.9157420467
3	960.4607113	582.4992783	0.2138481328	0.941521146
4	879.9390788	547.042056	0.2128108098	0.9509154452
5	772.0529986	486.8484831	0.1912919475	0.9622137431
6	738.3369532	466.632821	0.1866461997	0.9654419797
7	715.5873239	448.3589651	0.1837023746	0.9675387737
8	677.3985994	396.5286668	0.1355076975	0.9709110374
9	668.1842594	391.4383635	0.1345094548	0.9716970225
10	658.9400163	387.4799143	0.1339599059	0.9724747413
11	648.2575666	381.4438953	0.1308392454	0.9733599624
12	630.9560659	374.3989408	0.1295056679	0.9747629909
13	618.5231069	365.6259245	0.1224729221	0.9757477798
14	608.880048	361.0959944	0.1223183771	0.9764980915
15	607.9887274	360.9142547	0.1222771835	0.9765668486
16	600.6227022	356.2907876	0.1216819627	0.9771312129
17	590.0979696	349.7775795	0.1205893792	0.977925652
18	584.0583199	347.3381909	0.1203270275	0.9783752012
19	577.510473	344.2845103	0.1196893945	0.9788573523
20	573.4246549	342.3525111	0.1191765129	0.9791554574
21	569.7354871	339.1009359	0.1181234617	0.9794228043
22	565.9808671	336.711478	0.1178004969	0.9796931227
23	559.6500235	334.3718969	0.1175543025	0.9801448717
24	553.9762561	329.9871327	0.1156189721	0.9805454161
25	549.0484005	321.8603307	0.1075000257	0.9808899903
26	547.0117806	320.7943744	0.107403903	0.9810314993
27	546.8226939	320.6783848	0.107377504	0.9810446108
28	544.2727585	316.1935207	0.1040365507	0.9812209836
29	537.4797639	313.9298393	0.1037377186	0.9816868151
30	531.9637829	312.6583435	0.103944026	0.9820607709
31	526.6008181	310.9524328	0.103602228	0.9824206544
32	526.0729209	310.5197889	0.1035937035	0.982455882
33	522.4126432	308.2952222	0.1032396515	0.9826991674
34	519.1136927	306.8279087	0.103388883	0.9829169814
35	515.9390433	304.6848429	0.1025389971	0.9831252855
36	513.9866393	303.7252147	0.1020533204	0.9832527577
37	511.9801947	303.1743019	0.1026521176	0.9833832545
38	510.5582713	302.5499672	0.102645557	0.9834754258
39	505.7209084	300.2686693	0.1024805438	0.9837870716
40	505.3923482	299.9969133	0.1023078748	0.9838081314
41	500.604837	298.3769181	0.1015504405	0.9841134451
42	498.720769	297.3816275	0.1014366162	0.9842328008
43	495.9958491	296.591575	0.1010370451	0.9844046283
44	494.3225472	294.4834116	0.098562121	0.9845096766
45	489.7924458	292.0163717	0.09830124101	0.9847922904
46	487.9352083	291.3061367	0.09823732328	0.9849074036
47	486.757438	290.7611961	0.09809300564	0.9849801762
48	486.3266017	290.5102082	0.09804163967	0.985006753
49	483.7867416	289.6961174	0.09782137462	0.9851629497
50	482.4387865	289.3701955	0.09787849326	0.9852455142
51	477.9610363	286.9007606	0.09718147458	0.9855181304
52	476.5778605	284.5519509	0.09565528872	0.9856018275
53	475.7829114	284.5080371	0.09590448078	0.9856498208
54	472.7119803	282.9568956	0.09565098295	0.9858344689
55	472.1036776	282.865362	0.09565160948	0.9858709028
56	471.4927139	282.706589	0.09567741559	0.985907449
57	468.2630044	281.4165878	0.09554216933	0.9860998547
58	466.0228656	280.5878906	0.09538837516	0.9862325313
59	465.9472929	280.5193931	0.09537010788	0.9862369962
60	465.0112769	279.0705573	0.0936760117	0.9862922361
61	463.3975918	278.3067056	0.09358861631	0.9863872086
62	460.8147922	276.7212957	0.09254367242	0.9865385306
63	460.1010092	275.3837685	0.09122962471	0.9865802008
64	457.7477321	274.5381978	0.0912597194	0.9867171262
65	455.7508401	273.5162812	0.09042279224	0.9868327646
66	454.7034784	272.8501196	0.09034226737	0.9868932143
67	454.6860196	272.8262472	0.09033683129	0.9868942208
68	450.3529342	271.4787048	0.09030491933	0.9871428225
69	447.7419233	269.85094	0.08995251297	0.9872914745
70	447.0191902	269.5402604	0.08989964876	0.9873324689
71	444.1020284	268.4982858	0.08983322188	0.9874972612
72	442.8411458	267.9999426	0.08970332642	0.9875681553
73	442.5502048	267.7045568	0.08964000913	0.987584485
74	441.9190035	267.44228	0.08967132547	0.9876198758
75	441.5378708	267.4431277	0.0898383835	0.9876412211
76	440.9368696	266.6246707	0.08954716185	0.9876748426
77	440.5781724	266.2849377	0.08953186819	0.9876948872
78	439.7173347	265.9165438	0.08951169575	0.9877429257
79	439.1981614	265.6939101	0.08952485806	0.9877718524
80	438.6897313	265.5419801	0.08962006665	0.9878001474
81	438.4324257	265.4241122	0.08962420975	0.9878144544
82	435.9070875	264.3370182	0.08945866662	0.9879544258
83	434.7302411	264.0288637	0.08944245548	0.9880193785
84	433.1262218	263.4141234	0.08940872615	0.9881076249
85	431.3189563	262.6252954	0.08935682247	0.9882066623
86	429.3621071	262.060753	0.08942849322	0.9883134298
87	428.6227541	261.2056304	0.08911599396	0.9883536432
88	427.2028377	260.8103159	0.08907171678	0.9884306782
89	426.1629024	260.3992002	0.08934654268	0.9884869358
90	425.7298024	260.1385915	0.08928991151	0.9885103248
91	424.1187245	258.9924491	0.08897195401	0.9885971204
92	422.8153057	258.5695685	0.08903342362	0.9886671003
93	420.6056525	258.1087273	0.08899719234	0.9887852433
94	418.404303	257.0727325	0.08882946937	0.9889023269
95	417.9600639	256.6852058	0.08868990201	0.9889258802
96	417.3305279	256.3739045	0.08876202325	0.988959215
97	416.2947055	255.9149114	0.08859795168	0.9890139538
98	415.4627971	255.2098335	0.08813930961	0.9890578182
99	415.2620739	255.0996804	0.08818945928	0.9890683887
